2023-02-17 17:19:40 startup archives install
2023-02-17 17:23:21 status half-configured python3-markupsafe:amd64 2.0.1-2build1
2023-02-17 17:23:21 status installed python3-markupsafe:amd64 2.0.1-2build1
2023-02-17 17:23:21 configure python3-tz:all 2022.1-1ubuntu0.22.04.0 <none>
2023-02-17 17:23:21 status unpacked python3-tz:all 2022.1-1ubuntu0.22.04.0
2023-02-17 17:23:21 status half-configured python3-tz:all 2022.1-1ubuntu0.22.04.0
2023-02-17 17:23:22 status installed python3-tz:all 2022.1-1ubuntu0.22.04.0
2023-02-17 17:23:22 configure sg3-utils-udev:all 1.46-1build1 <none>
2023-02-17 17:23:22 status unpacked sg3-utils-udev:all 1.46-1build1
2023-02-17 17:23:22 status half-configured sg3-utils-udev:all 1.46-1build1
2023-02-17 17:23:22 status installed sg3-utils-udev:all 1.46-1build1
2023-02-17 17:23:22 configure python3-serial:all 3.5-1 <none>
2023-02-17 17:23:22 status unpacked python3-serial:all 3.5-1
2023-02-17 17:23:22 status half-configured python3-serial:all 3.5-1
2023-02-17 17:23:22 status installed python3-serial:all 3.5-1
2023-02-17 17:23:22 configure python3-six:all 1.16.0-3ubuntu1 <none>
2023-02-17 17:23:22 status unpacked python3-six:all 1.16.0-3ubuntu1
2023-02-17 17:23:22 status half-configured python3-six:all 1.16.0-3ubuntu1
2023-02-17 17:23:22 status installed python3-six:all 1.16.0-3ubuntu1
2023-02-17 17:23:22 configure gir1.2-packagekitglib-1.0:amd64 1.2.5-2ubuntu2 <none>
2023-02-17 17:23:22 status unpacked gir1.2-packagekitglib-1.0:amd64 1.2.5-2ubuntu2
2023-02-17 17:23:22 status half-configured gir1.2-packagekitglib-1.0:amd64 1.2.5-2ubuntu2
2023-02-17 17:23:22 status installed gir1.2-packagekitglib-1.0:amd64 1.2.5-2ubuntu2
2023-02-17 17:23:22 configure perl:amd64 5.34.0-3ubuntu1.1 <none>
2023-02-17 17:23:22 status unpacked perl:amd64 5.34.0-3ubuntu1.1
2023-02-17 17:23:22 status half-configured perl:amd64 5.34.0-3ubuntu1.1
2023-02-17 17:23:22 status installed perl:amd64 5.34.0-3ubuntu1.1
2023-02-17 17:23:22 configure python3-configobj:all 5.0.6-5 <none>
2023-02-17 17:23:22 status unpacked python3-configobj:all 5.0.6-5
2023-02-17 17:23:22 status half-configured python3-configobj:all 5.0.6-5
2023-02-17 17:23:22 status installed python3-configobj:all 5.0.6-5
2023-02-17 17:23:22 configure pollinate:all 4.33-3ubuntu2 <none>
2023-02-17 17:23:22 status unpacked pollinate:all 4.33-3ubuntu2
2023-02-17 17:23:22 status half-configured pollinate:all 4.33-3ubuntu2
2023-02-17 17:23:22 status installed pollinate:all 4.33-3ubuntu2
2023-02-17 17:23:22 configure python3-pyparsing:all 2.4.7-1 <none>
2023-02-17 17:23:22 status unpacked python3-pyparsing:all 2.4.7-1
2023-02-17 17:23:22 status half-configured python3-pyparsing:all 2.4.7-1
2023-02-17 17:23:22 status installed python3-pyparsing:all 2.4.7-1
2023-02-17 17:23:22 configure python3-certifi:all 2020.6.20-1 <none>
2023-02-17 17:23:22 status unpacked python3-certifi:all 2020.6.20-1
2023-02-17 17:23:22 status half-configured python3-certifi:all 2020.6.20-1
2023-02-17 17:23:22 status installed python3-certifi:all 2020.6.20-1
2023-02-17 17:23:22 configure libmodule-find-perl:all 0.15-1 <none>
2023-02-17 17:23:22 status unpacked libmodule-find-perl:all 0.15-1
2023-02-17 17:23:22 status half-configured libmodule-find-perl:all 0.15-1
2023-02-17 17:23:22 status installed libmodule-find-perl:all 0.15-1
2023-02-17 17:23:22 configure python3-gi:amd64 3.42.1-0ubuntu1 <none>
2023-02-17 17:23:22 status unpacked python3-gi:amd64 3.42.1-0ubuntu1
2023-02-17 17:23:22 status half-configured python3-gi:amd64 3.42.1-0ubuntu1
2023-02-17 17:23:23 status installed python3-gi:amd64 3.42.1-0ubuntu1
2023-02-17 17:23:23 configure shared-mime-info:amd64 2.1-2 <none>
2023-02-17 17:23:23 status unpacked shared-mime-info:amd64 2.1-2
2023-02-17 17:23:23 status half-configured shared-mime-info:amd64 2.1-2
2023-02-17 17:23:24 status installed shared-mime-info:amd64 2.1-2
2023-02-17 17:23:24 configure python3-idna:all 3.3-1 <none>
2023-02-17 17:23:24 status unpacked python3-idna:all 3.3-1
2023-02-17 17:23:24 status half-configured python3-idna:all 3.3-1
2023-02-17 17:23:24 status installed python3-idna:all 3.3-1
2023-02-17 17:23:24 configure xfsprogs:amd64 5.13.0-1ubuntu2 <none>
2023-02-17 17:23:24 status unpacked xfsprogs:amd64 5.13.0-1ubuntu2
2023-02-17 17:23:24 status half-configured xfsprogs:amd64 5.13.0-1ubuntu2
2023-02-17 17:23:24 status installed xfsprogs:amd64 5.13.0-1ubuntu2
2023-02-17 17:23:24 configure python3-jeepney:all 0.7.1-3 <none>
2023-02-17 17:23:24 status unpacked python3-jeepney:all 0.7.1-3
2023-02-17 17:23:24 status half-configured python3-jeepney:all 0.7.1-3
2023-02-17 17:23:24 status installed python3-jeepney:all 0.7.1-3
2023-02-17 17:23:24 configure python3-urllib3:all 1.26.5-1~exp1 <none>
2023-02-17 17:23:24 status unpacked python3-urllib3:all 1.26.5-1~exp1
2023-02-17 17:23:24 status half-configured python3-urllib3:all 1.26.5-1~exp1
2023-02-17 17:23:24 status installed python3-urllib3:all 1.26.5-1~exp1
2023-02-17 17:23:24 configure python3-netifaces:amd64 0.11.0-1build2 <none>
2023-02-17 17:23:24 status unpacked python3-netifaces:amd64 0.11.0-1build2
2023-02-17 17:23:24 status half-configured python3-netifaces:amd64 0.11.0-1build2
2023-02-17 17:23:24 status installed python3-netifaces:amd64 0.11.0-1build2
2023-02-17 17:23:24 configure python3-pyrsistent:amd64 0.18.1-1build1 <none>
2023-02-17 17:23:24 status unpacked python3-pyrsistent:amd64 0.18.1-1build1
2023-02-17 17:23:24 status half-configured python3-pyrsistent:amd64 0.18.1-1build1
2023-02-17 17:23:24 status installed python3-pyrsistent:amd64 0.18.1-1build1
2023-02-17 17:23:24 configure libproc-processtable-perl:amd64 0.634-1build1 <none>
2023-02-17 17:23:24 status unpacked libproc-processtable-perl:amd64 0.634-1build1
2023-02-17 17:23:24 status half-configured libproc-processtable-perl:amd64 0.634-1build1
2023-02-17 17:23:24 status installed libproc-processtable-perl:amd64 0.634-1build1
2023-02-17 17:23:24 configure xauth:amd64 1:1.1-1build2 <none>
2023-02-17 17:23:24 status unpacked xauth:amd64 1:1.1-1build2
2023-02-17 17:23:24 status half-configured xauth:amd64 1:1.1-1build2
2023-02-17 17:23:24 status installed xauth:amd64 1:1.1-1build2
2023-02-17 17:23:24 configure python3-json-pointer:all 2.0-0ubuntu1 <none>
2023-02-17 17:23:24 status unpacked python3-json-pointer:all 2.0-0ubuntu1
2023-02-17 17:23:24 status half-configured python3-json-pointer:all 2.0-0ubuntu1
2023-02-17 17:23:24 status installed python3-json-pointer:all 2.0-0ubuntu1
2023-02-17 17:23:24 configure gnupg:all 2.2.27-3ubuntu2.1 <none>
2023-02-17 17:23:24 status unpacked gnupg:all 2.2.27-3ubuntu2.1
2023-02-17 17:23:24 status half-configured gnupg:all 2.2.27-3ubuntu2.1
2023-02-17 17:23:24 status installed gnupg:all 2.2.27-3ubuntu2.1
2023-02-17 17:23:24 configure libintl-perl:all 1.26-3build2 <none>
2023-02-17 17:23:24 status unpacked libintl-perl:all 1.26-3build2
2023-02-17 17:23:24 status half-configured libintl-perl:all 1.26-3build2
2023-02-17 17:23:24 status installed libintl-perl:all 1.26-3build2
2023-02-17 17:23:24 configure python3-httplib2:all 0.20.2-2 <none>
2023-02-17 17:23:24 status unpacked python3-httplib2:all 0.20.2-2
2023-02-17 17:23:24 status half-configured python3-httplib2:all 0.20.2-2
2023-02-17 17:23:24 status installed python3-httplib2:all 0.20.2-2
2023-02-17 17:23:24 configure libterm-readkey-perl:amd64 2.38-1build4 <none>
2023-02-17 17:23:24 status unpacked libterm-readkey-perl:amd64 2.38-1build4
2023-02-17 17:23:24 status half-configured libterm-readkey-perl:amd64 2.38-1build4
2023-02-17 17:23:24 status installed libterm-readkey-perl:amd64 2.38-1build4
2023-02-17 17:23:24 configure lsb-release:all 11.1.0ubuntu4 <none>
2023-02-17 17:23:24 status unpacked lsb-release:all 11.1.0ubuntu4
2023-02-17 17:23:24 status half-configured lsb-release:all 11.1.0ubuntu4
2023-02-17 17:23:24 status installed lsb-release:all 11.1.0ubuntu4
2023-02-17 17:23:24 configure python3-xkit:all 0.5.0ubuntu5 <none>
2023-02-17 17:23:24 status unpacked python3-xkit:all 0.5.0ubuntu5
2023-02-17 17:23:24 status half-configured python3-xkit:all 0.5.0ubuntu5
2023-02-17 17:23:25 status installed python3-xkit:all 0.5.0ubuntu5
2023-02-17 17:23:25 configure python3-lib2to3:all 3.10.6-1~22.04 <none>
2023-02-17 17:23:25 status unpacked python3-lib2to3:all 3.10.6-1~22.04
2023-02-17 17:23:25 status half-configured python3-lib2to3:all 3.10.6-1~22.04
2023-02-17 17:23:25 status installed python3-lib2to3:all 3.10.6-1~22.04
2023-02-17 17:23:25 configure cloud-guest-utils:all 0.32-22-g45fe84a5-0ubuntu1 <none>
2023-02-17 17:23:25 status unpacked cloud-guest-utils:all 0.32-22-g45fe84a5-0ubuntu1
2023-02-17 17:23:25 status half-configured cloud-guest-utils:all 0.32-22-g45fe84a5-0ubuntu1
2023-02-17 17:23:25 status installed cloud-guest-utils:all 0.32-22-g45fe84a5-0ubuntu1
2023-02-17 17:23:25 configure python3-distro-info:all 1.1build1 <none>
2023-02-17 17:23:25 status unpacked python3-distro-info:all 1.1build1
2023-02-17 17:23:25 status half-configured python3-distro-info:all 1.1build1
2023-02-17 17:23:25 status installed python3-distro-info:all 1.1build1
2023-02-17 17:23:25 configure policykit-1:amd64 0.105-33 <none>
2023-02-17 17:23:25 status unpacked policykit-1:amd64 0.105-33
2023-02-17 17:23:25 status half-configured policykit-1:amd64 0.105-33
2023-02-17 17:23:25 status installed policykit-1:amd64 0.105-33
2023-02-17 17:23:25 configure libsort-naturally-perl:all 1.03-2 <none>
2023-02-17 17:23:25 status unpacked libsort-naturally-perl:all 1.03-2
2023-02-17 17:23:25 status half-configured libsort-naturally-perl:all 1.03-2
2023-02-17 17:23:25 status installed libsort-naturally-perl:all 1.03-2
2023-02-17 17:23:25 configure libmodule-scandeps-perl:all 1.31-1 <none>
2023-02-17 17:23:25 status unpacked libmodule-scandeps-perl:all 1.31-1
2023-02-17 17:23:25 status half-configured libmodule-scandeps-perl:all 1.31-1
2023-02-17 17:23:25 status installed libmodule-scandeps-perl:all 1.31-1
2023-02-17 17:23:25 configure cryptsetup-initramfs:all 2:2.4.3-1ubuntu1.1 <none>
2023-02-17 17:23:25 status unpacked cryptsetup-initramfs:all 2:2.4.3-1ubuntu1.1
2023-02-17 17:23:25 status half-configured cryptsetup-initramfs:all 2:2.4.3-1ubuntu1.1
2023-02-17 17:23:25 status installed cryptsetup-initramfs:all 2:2.4.3-1ubuntu1.1
2023-02-17 17:23:25 configure python3-systemd:amd64 234-3ubuntu2 <none>
2023-02-17 17:23:25 status unpacked python3-systemd:amd64 234-3ubuntu2
2023-02-17 17:23:25 status half-configured python3-systemd:amd64 234-3ubuntu2
2023-02-17 17:23:25 status installed python3-systemd:amd64 234-3ubuntu2
2023-02-17 17:23:25 configure python3-cffi-backend:amd64 1.15.0-1build2 <none>
2023-02-17 17:23:25 status unpacked python3-cffi-backend:amd64 1.15.0-1build2
2023-02-17 17:23:25 status half-configured python3-cffi-backend:amd64 1.15.0-1build2
2023-02-17 17:23:25 status installed python3-cffi-backend:amd64 1.15.0-1build2
2023-02-17 17:23:25 configure python3-blinker:all 1.4+dfsg1-0.4 <none>
2023-02-17 17:23:25 status unpacked python3-blinker:all 1.4+dfsg1-0.4
2023-02-17 17:23:25 status half-configured python3-blinker:all 1.4+dfsg1-0.4
2023-02-17 17:23:25 status installed python3-blinker:all 1.4+dfsg1-0.4
2023-02-17 17:23:25 configure python3-pkg-resources:all 59.6.0-1.2ubuntu0.22.04.1 <none>
2023-02-17 17:23:25 status unpacked python3-pkg-resources:all 59.6.0-1.2ubuntu0.22.04.1
2023-02-17 17:23:25 status half-configured python3-pkg-resources:all 59.6.0-1.2ubuntu0.22.04.1
2023-02-17 17:23:25 status installed python3-pkg-resources:all 59.6.0-1.2ubuntu0.22.04.1
2023-02-17 17:23:25 configure python3-distutils:all 3.10.6-1~22.04 <none>
2023-02-17 17:23:25 status unpacked python3-distutils:all 3.10.6-1~22.04
2023-02-17 17:23:25 status half-configured python3-distutils:all 3.10.6-1~22.04
2023-02-17 17:23:25 status installed python3-distutils:all 3.10.6-1~22.04
2023-02-17 17:23:25 configure python3-more-itertools:all 8.10.0-2 <none>
2023-02-17 17:23:25 status unpacked python3-more-itertools:all 8.10.0-2
2023-02-17 17:23:25 status half-configured python3-more-itertools:all 8.10.0-2
2023-02-17 17:23:25 status installed python3-more-itertools:all 8.10.0-2
2023-02-17 17:23:25 configure snapd:amd64 2.58+22.04 <none>
2023-02-17 17:23:25 status unpacked snapd:amd64 2.58+22.04
2023-02-17 17:23:25 status half-configured snapd:amd64 2.58+22.04
2023-02-17 17:23:27 status installed snapd:amd64 2.58+22.04
2023-02-17 17:23:27 configure python3-attr:all 21.2.0-1 <none>
2023-02-17 17:23:27 status unpacked python3-attr:all 21.2.0-1
2023-02-17 17:23:27 status half-configured python3-attr:all 21.2.0-1
2023-02-17 17:23:27 status installed python3-attr:all 21.2.0-1
2023-02-17 17:23:27 configure openssh-sftp-server:amd64 1:8.9p1-3ubuntu0.1 <none>
2023-02-17 17:23:27 status unpacked openssh-sftp-server:amd64 1:8.9p1-3ubuntu0.1
2023-02-17 17:23:27 status half-configured openssh-sftp-server:amd64 1:8.9p1-3ubuntu0.1
2023-02-17 17:23:27 status installed openssh-sftp-server:amd64 1:8.9p1-3ubuntu0.1
2023-02-17 17:23:27 configure needrestart:all 3.5-5ubuntu2.1 <none>
2023-02-17 17:23:27 status unpacked needrestart:all 3.5-5ubuntu2.1
2023-02-17 17:23:27 status half-configured needrestart:all 3.5-5ubuntu2.1
2023-02-17 17:23:27 status installed needrestart:all 3.5-5ubuntu2.1
2023-02-17 17:23:27 configure python3-dbus:amd64 1.2.18-3build1 <none>
2023-02-17 17:23:27 status unpacked python3-dbus:amd64 1.2.18-3build1
2023-02-17 17:23:27 status half-configured python3-dbus:amd64 1.2.18-3build1
2023-02-17 17:23:27 status installed python3-dbus:amd64 1.2.18-3build1
2023-02-17 17:23:27 configure python3-setuptools:all 59.6.0-1.2ubuntu0.22.04.1 <none>
2023-02-17 17:23:27 status unpacked python3-setuptools:all 59.6.0-1.2ubuntu0.22.04.1
2023-02-17 17:23:27 status half-configured python3-setuptools:all 59.6.0-1.2ubuntu0.22.04.1
2023-02-17 17:23:27 status installed python3-setuptools:all 59.6.0-1.2ubuntu0.22.04.1
2023-02-17 17:23:27 configure python3-distro:all 1.7.0-1 <none>
2023-02-17 17:23:27 status unpacked python3-distro:all 1.7.0-1
2023-02-17 17:23:27 status half-configured python3-distro:all 1.7.0-1
2023-02-17 17:23:27 status installed python3-distro:all 1.7.0-1
2023-02-17 17:23:27 configure openssh-server:amd64 1:8.9p1-3ubuntu0.1 <none>
2023-02-17 17:23:27 status unpacked openssh-server:amd64 1:8.9p1-3ubuntu0.1
2023-02-17 17:23:27 status half-configured openssh-server:amd64 1:8.9p1-3ubuntu0.1
2023-02-17 17:23:28 status installed openssh-server:amd64 1:8.9p1-3ubuntu0.1
2023-02-17 17:23:28 configure python3-jwt:all 2.3.0-1ubuntu0.2 <none>
2023-02-17 17:23:28 status unpacked python3-jwt:all 2.3.0-1ubuntu0.2
2023-02-17 17:23:28 status half-configured python3-jwt:all 2.3.0-1ubuntu0.2
2023-02-17 17:23:28 status installed python3-jwt:all 2.3.0-1ubuntu0.2
2023-02-17 17:23:28 configure python3-babel:all 2.8.0+dfsg.1-7 <none>
2023-02-17 17:23:28 status unpacked python3-babel:all 2.8.0+dfsg.1-7
2023-02-17 17:23:28 status half-configured python3-babel:all 2.8.0+dfsg.1-7
2023-02-17 17:23:28 status installed python3-babel:all 2.8.0+dfsg.1-7
2023-02-17 17:23:28 configure python3-colorama:all 0.4.4-1 <none>
2023-02-17 17:23:28 status unpacked python3-colorama:all 0.4.4-1
2023-02-17 17:23:28 status half-configured python3-colorama:all 0.4.4-1
2023-02-17 17:23:28 status installed python3-colorama:all 0.4.4-1
2023-02-17 17:23:28 configure python3-problem-report:all 2.20.11-0ubuntu82.3 <none>
2023-02-17 17:23:28 status unpacked python3-problem-report:all 2.20.11-0ubuntu82.3
2023-02-17 17:23:28 status half-configured python3-problem-report:all 2.20.11-0ubuntu82.3
2023-02-17 17:23:28 status installed python3-problem-report:all 2.20.11-0ubuntu82.3
2023-02-17 17:23:28 configure python3-apt:amd64 2.4.0ubuntu1 <none>
2023-02-17 17:23:28 status unpacked python3-apt:amd64 2.4.0ubuntu1
2023-02-17 17:23:28 status half-configured python3-apt:amd64 2.4.0ubuntu1
2023-02-17 17:23:28 status installed python3-apt:amd64 2.4.0ubuntu1
2023-02-17 17:23:28 configure ssh-import-id:all 5.11-0ubuntu1 <none>
2023-02-17 17:23:28 status unpacked ssh-import-id:all 5.11-0ubuntu1
2023-02-17 17:23:28 status half-configured ssh-import-id:all 5.11-0ubuntu1
2023-02-17 17:23:29 status installed ssh-import-id:all 5.11-0ubuntu1
2023-02-17 17:23:29 configure python3-jsonpatch:all 1.32-2 <none>
2023-02-17 17:23:29 status unpacked python3-jsonpatch:all 1.32-2
2023-02-17 17:23:29 status half-configured python3-jsonpatch:all 1.32-2
2023-02-17 17:23:29 status installed python3-jsonpatch:all 1.32-2
2023-02-17 17:23:29 configure python3-debconf:all 1.5.79ubuntu1 <none>
2023-02-17 17:23:29 status unpacked python3-debconf:all 1.5.79ubuntu1
2023-02-17 17:23:29 status half-configured python3-debconf:all 1.5.79ubuntu1
2023-02-17 17:23:29 status installed python3-debconf:all 1.5.79ubuntu1
2023-02-17 17:23:29 configure python3-yaml:amd64 5.4.1-1ubuntu1 <none>
2023-02-17 17:23:29 status unpacked python3-yaml:amd64 5.4.1-1ubuntu1
2023-02-17 17:23:29 status half-configured python3-yaml:amd64 5.4.1-1ubuntu1
2023-02-17 17:23:29 status installed python3-yaml:amd64 5.4.1-1ubuntu1
2023-02-17 17:23:29 configure python3-lazr.uri:all 1.0.6-2 <none>
2023-02-17 17:23:29 status unpacked python3-lazr.uri:all 1.0.6-2
2023-02-17 17:23:29 status half-configured python3-lazr.uri:all 1.0.6-2
2023-02-17 17:23:29 status installed python3-lazr.uri:all 1.0.6-2
2023-02-17 17:23:29 configure python3-zipp:all 1.0.0-3 <none>
2023-02-17 17:23:29 status unpacked python3-zipp:all 1.0.0-3
2023-02-17 17:23:29 status half-configured python3-zipp:all 1.0.0-3
2023-02-17 17:23:29 status installed python3-zipp:all 1.0.0-3
2023-02-17 17:23:29 configure python3-click:all 8.0.3-1 <none>
2023-02-17 17:23:29 status unpacked python3-click:all 8.0.3-1
2023-02-17 17:23:29 status half-configured python3-click:all 8.0.3-1
2023-02-17 17:23:29 status installed python3-click:all 8.0.3-1
2023-02-17 17:23:29 configure libintl-xs-perl:amd64 1.26-3build2 <none>
2023-02-17 17:23:29 status unpacked libintl-xs-perl:amd64 1.26-3build2
2023-02-17 17:23:29 status half-configured libintl-xs-perl:amd64 1.26-3build2
2023-02-17 17:23:29 status installed libintl-xs-perl:amd64 1.26-3build2
2023-02-17 17:23:29 configure multipath-tools:amd64 0.8.8-1ubuntu1.22.04.1 <none>
2023-02-17 17:23:29 status unpacked multipath-tools:amd64 0.8.8-1ubuntu1.22.04.1
2023-02-17 17:23:29 status half-configured multipath-tools:amd64 0.8.8-1ubuntu1.22.04.1
2023-02-17 17:23:29 status installed multipath-tools:amd64 0.8.8-1ubuntu1.22.04.1
2023-02-17 17:23:29 configure netplan.io:amd64 0.105-0ubuntu2~22.04.1 <none>
2023-02-17 17:23:29 status unpacked netplan.io:amd64 0.105-0ubuntu2~22.04.1
2023-02-17 17:23:29 status half-configured netplan.io:amd64 0.105-0ubuntu2~22.04.1
2023-02-17 17:23:29 status installed netplan.io:amd64 0.105-0ubuntu2~22.04.1
2023-02-17 17:23:29 configure unattended-upgrades:all 2.8ubuntu1 <none>
2023-02-17 17:23:29 status unpacked unattended-upgrades:all 2.8ubuntu1
2023-02-17 17:23:29 status half-configured unattended-upgrades:all 2.8ubuntu1
2023-02-17 17:23:30 status installed unattended-upgrades:all 2.8ubuntu1
2023-02-17 17:23:30 configure python3-jinja2:all 3.0.3-1 <none>
2023-02-17 17:23:30 status unpacked python3-jinja2:all 3.0.3-1
2023-02-17 17:23:30 status half-configured python3-jinja2:all 3.0.3-1
2023-02-17 17:23:30 status installed python3-jinja2:all 3.0.3-1
2023-02-17 17:23:30 configure plymouth-theme-ubuntu-text:amd64 0.9.5+git20211018-1ubuntu3 <none>
2023-02-17 17:23:30 status unpacked plymouth-theme-ubuntu-text:amd64 0.9.5+git20211018-1ubuntu3
2023-02-17 17:23:30 status half-configured plymouth-theme-ubuntu-text:amd64 0.9.5+git20211018-1ubuntu3
2023-02-17 17:23:30 status installed plymouth-theme-ubuntu-text:amd64 0.9.5+git20211018-1ubuntu3
2023-02-17 17:23:30 configure python3-chardet:all 4.0.0-1 <none>
2023-02-17 17:23:30 status unpacked python3-chardet:all 4.0.0-1
2023-02-17 17:23:30 status half-configured python3-chardet:all 4.0.0-1
2023-02-17 17:23:30 status installed python3-chardet:all 4.0.0-1
2023-02-17 17:23:30 configure python3-cryptography:amd64 3.4.8-1ubuntu2 <none>
2023-02-17 17:23:30 status unpacked python3-cryptography:amd64 3.4.8-1ubuntu2
2023-02-17 17:23:30 status half-configured python3-cryptography:amd64 3.4.8-1ubuntu2
2023-02-17 17:23:31 status installed python3-cryptography:amd64 3.4.8-1ubuntu2
2023-02-17 17:23:31 configure python3-wadllib:all 1.3.6-1 <none>
2023-02-17 17:23:31 status unpacked python3-wadllib:all 1.3.6-1
2023-02-17 17:23:31 status half-configured python3-wadllib:all 1.3.6-1
2023-02-17 17:23:31 status installed python3-wadllib:all 1.3.6-1
2023-02-17 17:23:31 configure python3-requests:all 2.25.1+dfsg-2 <none>
2023-02-17 17:23:31 status unpacked python3-requests:all 2.25.1+dfsg-2
2023-02-17 17:23:31 status half-configured python3-requests:all 2.25.1+dfsg-2
2023-02-17 17:23:31 status installed python3-requests:all 2.25.1+dfsg-2
2023-02-17 17:23:31 configure packagekit:amd64 1.2.5-2ubuntu2 <none>
2023-02-17 17:23:31 status unpacked packagekit:amd64 1.2.5-2ubuntu2
2023-02-17 17:23:31 status triggers-pending dbus:amd64 1.12.20-2ubuntu4.1
2023-02-17 17:23:31 status half-configured packagekit:amd64 1.2.5-2ubuntu2
2023-02-17 17:23:31 status installed packagekit:amd64 1.2.5-2ubuntu2
2023-02-17 17:23:31 configure networkd-dispatcher:all 2.1-2ubuntu0.22.04.2 <none>
2023-02-17 17:23:31 status unpacked networkd-dispatcher:all 2.1-2ubuntu0.22.04.2
2023-02-17 17:23:31 status half-configured networkd-dispatcher:all 2.1-2ubuntu0.22.04.2
2023-02-17 17:23:31 status installed networkd-dispatcher:all 2.1-2ubuntu0.22.04.2
2023-02-17 17:23:31 configure packagekit-tools:amd64 1.2.5-2ubuntu2 <none>
2023-02-17 17:23:31 status unpacked packagekit-tools:amd64 1.2.5-2ubuntu2
2023-02-17 17:23:31 status half-configured packagekit-tools:amd64 1.2.5-2ubuntu2
2023-02-17 17:23:31 status installed packagekit-tools:amd64 1.2.5-2ubuntu2
2023-02-17 17:23:31 configure python3-importlib-metadata:all 4.6.4-1 <none>
2023-02-17 17:23:31 status unpacked python3-importlib-metadata:all 4.6.4-1
2023-02-17 17:23:31 status half-configured python3-importlib-metadata:all 4.6.4-1
2023-02-17 17:23:31 status installed python3-importlib-metadata:all 4.6.4-1
2023-02-17 17:23:31 configure ubuntu-drivers-common:amd64 1:0.9.6.1 <none>
2023-02-17 17:23:31 status unpacked ubuntu-drivers-common:amd64 1:0.9.6.1
2023-02-17 17:23:31 status half-configured ubuntu-drivers-common:amd64 1:0.9.6.1
2023-02-17 17:23:32 status installed ubuntu-drivers-common:amd64 1:0.9.6.1
2023-02-17 17:23:32 configure python3-oauthlib:all 3.2.0-1ubuntu0.1 <none>
2023-02-17 17:23:32 status unpacked python3-oauthlib:all 3.2.0-1ubuntu0.1
2023-02-17 17:23:32 status half-configured python3-oauthlib:all 3.2.0-1ubuntu0.1
2023-02-17 17:23:32 status installed python3-oauthlib:all 3.2.0-1ubuntu0.1
2023-02-17 17:23:32 configure python3-secretstorage:all 3.3.1-1 <none>
2023-02-17 17:23:32 status unpacked python3-secretstorage:all 3.3.1-1
2023-02-17 17:23:32 status half-configured python3-secretstorage:all 3.3.1-1
2023-02-17 17:23:32 status installed python3-secretstorage:all 3.3.1-1
2023-02-17 17:23:32 configure python3-jsonschema:all 3.2.0-0ubuntu2 <none>
2023-02-17 17:23:32 status unpacked python3-jsonschema:all 3.2.0-0ubuntu2
2023-02-17 17:23:32 status half-configured python3-jsonschema:all 3.2.0-0ubuntu2
2023-02-17 17:23:32 status installed python3-jsonschema:all 3.2.0-0ubuntu2
2023-02-17 17:23:32 configure python3-keyring:all 23.5.0-1 <none>
2023-02-17 17:23:32 status unpacked python3-keyring:all 23.5.0-1
2023-02-17 17:23:32 status half-configured python3-keyring:all 23.5.0-1
2023-02-17 17:23:32 status installed python3-keyring:all 23.5.0-1
2023-02-17 17:23:32 configure python3-lazr.restfulclient:all 0.14.4-1 <none>
2023-02-17 17:23:32 status unpacked python3-lazr.restfulclient:all 0.14.4-1
2023-02-17 17:23:32 status half-configured python3-lazr.restfulclient:all 0.14.4-1
2023-02-17 17:23:32 status installed python3-lazr.restfulclient:all 0.14.4-1
2023-02-17 17:23:32 configure cloud-init:all 22.4.2-0ubuntu0~22.04.1 <none>
2023-02-17 17:23:32 status unpacked cloud-init:all 22.4.2-0ubuntu0~22.04.1
2023-02-17 17:23:32 status half-configured cloud-init:all 22.4.2-0ubuntu0~22.04.1
2023-02-17 17:23:33 status installed cloud-init:all 22.4.2-0ubuntu0~22.04.1
2023-02-17 17:23:33 configure python3-launchpadlib:all 1.10.16-1 <none>
2023-02-17 17:23:33 status unpacked python3-launchpadlib:all 1.10.16-1
2023-02-17 17:23:33 status half-configured python3-launchpadlib:all 1.10.16-1
2023-02-17 17:23:33 status installed python3-launchpadlib:all 1.10.16-1
2023-02-17 17:23:33 configure python3-apport:all 2.20.11-0ubuntu82.3 <none>
2023-02-17 17:23:33 status unpacked python3-apport:all 2.20.11-0ubuntu82.3
2023-02-17 17:23:33 status half-configured python3-apport:all 2.20.11-0ubuntu82.3
2023-02-17 17:23:34 status installed python3-apport:all 2.20.11-0ubuntu82.3
2023-02-17 17:23:34 configure python3-software-properties:all 0.99.22.5 <none>
2023-02-17 17:23:34 status unpacked python3-software-properties:all 0.99.22.5
2023-02-17 17:23:34 status half-configured python3-software-properties:all 0.99.22.5
2023-02-17 17:23:34 status installed python3-software-properties:all 0.99.22.5
2023-02-17 17:23:34 configure software-properties-common:all 0.99.22.5 <none>
2023-02-17 17:23:34 status unpacked software-properties-common:all 0.99.22.5
2023-02-17 17:23:34 status half-configured software-properties-common:all 0.99.22.5
2023-02-17 17:23:34 status installed software-properties-common:all 0.99.22.5
2023-02-17 17:23:34 configure apport:all 2.20.11-0ubuntu82.3 <none>
2023-02-17 17:23:34 status unpacked apport:all 2.20.11-0ubuntu82.3
2023-02-17 17:23:34 status half-configured apport:all 2.20.11-0ubuntu82.3
